date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:24	36076/36076	---MCZ	200	added ('OK')	text/html	etag:W/%2267f7b653-8cec%22	https://pawly-html.wpthemeverse.com/landing.html	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/landing.html	(from )
23:25:24	106/106	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jun%202025%2020:25:24%20GMT	https://pawly-html.wpthemeverse.com/robots.txt		(from )
23:25:24	4886/4886	---MCZ	200	added ('OK')	image/png	etag:W/%2267e5700c-1316%22	https://pawly-html.wpthemeverse.com/images/favicon.png	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/images/favicon.png	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:25	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56ff8-38d63%22	https://pawly-html.wpthemeverse.com/css/bootstrap.min.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/bootstrap.min.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:25	2508/2508	---MCZ	200	added ('OK')	text/css	etag:W/%226800acd2-9cc%22	https://pawly-html.wpthemeverse.com/css/slicknav.min.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/slicknav.min.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:25	18433/18433	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56ffa-4801%22	https://pawly-html.wpthemeverse.com/css/swiper-bundle.min.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/swiper-bundle.min.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:26	132659/132659	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56fee-20633%22	https://pawly-html.wpthemeverse.com/css/all.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/all.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:26	73589/73589	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56ff1-11f75%22	https://pawly-html.wpthemeverse.com/css/animate.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/animate.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:26	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56ffc-1b27%22	https://pawly-html.wpthemeverse.com/css/magnific-popup.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/magnific-popup.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:26	32564/32564	---MCZ	200	added ('OK')	text/css	etag:W/%2267e56ffa-7f34%22	https://pawly-html.wpthemeverse.com/css/plyr.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/plyr.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:26	197205/197205	---MCZ	200	added ('OK')	text/css	etag:W/%226800aa0d-30255%22	https://pawly-html.wpthemeverse.com/css/custom.css	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/css/custom.css	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:27	194407/194407	---MCZ	200	added ('OK')	text/html	etag:W/%2267fca016-2f767%22	https://pawly-html.wpthemeverse.com/index.html	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/index.html	(from https://pawly-html.wpthemeverse.com/landing.html)
23:25:27	6364/6364	---MCZ	200	added ('OK')	image/png	etag:W/%2267e57026-18dc%22	https://pawly-html.wpthemeverse.com/images/pawly_logo_dark.png	D:/Oguz%20Hoca%20ders%20Tekrar/Temalar/petshop%201/pawly-html.wpthemeverse.com/images/pawly_logo_dark.png	(from https://pawly-html.wpthemeverse.com/landing.html)
